ID,Gender,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1246,M,46,21,41,94025,1,1.4,3,128,0,0,0,1,0
1247,M,48,22,59,91775,1,1.4,3,241,0,0,0,1,0
1248,F,52,28,39,94606,2,0.8,1,0,0,0,0,1,0
1249,F,44,19,35,94305,4,0,2,0,0,0,0,1,0
1250,F ,51,27,80,90032,1,2.6,2,0,0,0,0,1,1
1251,M,47,20,81,94301,1,2.67,2,0,0,0,0,1,0
1252,M,39,13,31,95120,2,0.8,3,0,0,0,0,0,0
1253,M,42,17,93,92182,4,1.9,3,0,0,0,0,0,0
1254,F,57,33,45,92346,4,1.5,1,204,0,0,0,1,0
1255,F,36,12,40,91101,2,0.6,3,0,0,0,0,1,1
1256,F ,27,1,80,95354,2,1.6,3,185,0,0,0,1,1
1257,M,31,7,20,92115,1,0.4,3,0,0,0,0,1,0
1258,M,63,37,41,93014,1,0.5,3,0,0,0,0,0,1
1259,M,34,8,31,91203,1,0.3,1,104,0,0,0,1,1
1260,F,52,27,35,95616,4,0.2,2,0,0,0,0,1,0
1261,F,57,31,40,91107,3,1.4,3,137,0,0,0,1,1
1262,F ,63,39,84,94901,1,1.8,3,0,0,0,0,0,0
1263,M,26,1,53,94720,2,1.6,3,0,0,0,0,1,0
1264,M,35,5,85,92870,4,4,3,0,0,0,0,1,0
1265,M,58,33,138,94546,2,3.9,1,0,0,0,0,1,0
1266,F,32,2,71,95014,2,1.75,3,108,0,0,0,0,0
1267,F,64,39,113,92121,1,0.8,3,0,0,0,0,0,1
1268,F ,50,23,23,94720,2,1,2,0,0,1,0,0,0
1269,M,34,9,62,92677,3,2.3,1,0,0,0,0,0,0
1270,M,36,11,14,92673,4,0.2,3,100,0,0,0,1,1
1271,M,43,18,60,91311,2,2.2,3,0,0,0,0,0,1
1272,F,28,4,94,92115,3,0.8,1,236,0,0,0,1,0
1273,F,64,39,83,95616,3,1.8,2,0,0,0,0,1,0
1274,F ,60,35,130,95741,3,6.3,3,437,1,0,1,1,1
1275,M,62,37,61,93117,4,1.7,1,0,0,0,0,0,0
1276,M,27,2,92,95616,2,3.1,1,178,0,0,0,1,0
1277,M,42,16,20,95351,2,0.8,3,117,0,0,0,1,1
1278,F,45,20,194,92110,2,8.8,1,428,0,0,0,0,0
1279,F,36,10,74,94305,1,2.5,1,0,0,0,0,0,1
1280,F ,48,22,84,90024,2,0.4,3,145,0,0,0,0,0
1281,M,65,40,98,95064,3,1.8,2,333,0,0,0,0,0
1282,M,39,15,52,92093,3,2.33,1,0,0,0,0,1,0
1283,M,51,26,55,93955,1,1.3,2,236,0,0,0,0,1
1284,F,30,6,64,94305,4,3.4,1,117,0,0,0,0,0
1285,F,65,40,128,90740,1,2.5,1,162,0,0,0,1,0
1286,F ,38,13,113,94720,4,1.7,2,0,1,0,0,0,1
1287,M,29,3,50,94010,3,1.1,2,0,0,0,0,0,1
1288,M,42,18,54,94010,4,2.2,2,0,0,0,0,0,0
1289,M,63,38,129,91326,1,0.9,1,366,0,0,0,1,0
1290,F,46,21,82,94523,4,0.4,1,0,0,0,0,0,0
1291,F,62,38,100,90277,4,1.7,2,0,0,0,0,1,0
1292,F ,58,34,44,94111,4,2.2,1,0,0,1,0,0,0
1293,M,56,30,164,94610,4,0.5,2,234,1,0,1,1,1
1294,M,56,31,81,92373,2,3.7,1,121,0,0,0,1,1
1295,M,34,10,71,95003,1,0.1,1,257,0,0,0,1,1
1296,F,42,17,28,92866,1,0.5,3,90,0,0,0,0,0
1297,F,30,6,80,92399,3,1.5,1,219,0,0,0,1,0
1298,F ,61,35,90,95814,4,1.9,2,0,0,0,0,1,0
1299,M,38,14,74,90274,1,3.6,2,0,0,0,0,1,1
1300,M,50,25,14,95762,2,0.7,3,0,0,1,0,1,0
1301,M,61,36,23,91754,2,0.5,2,103,0,0,0,1,0
1302,F,41,17,153,92121,1,1.7,1,337,0,0,0,0,1
1303,F,42,16,38,94087,3,0.9,3,0,0,0,0,0,0
1304,F ,29,5,112,94720,2,2,2,382,0,1,0,0,0
1305,M,51,26,145,90025,1,8.1,1,397,0,0,0,0,1
1306,M,32,6,28,94025,2,0.3,2,88,0,0,0,1,0
1307,M,34,9,31,94115,4,1.1,3,0,0,0,0,1,1
1308,F,26,2,195,94546,1,6.33,1,0,0,0,0,1,1
1309,F,54,24,50,92037,3,2,3,0,0,0,0,1,1
1310,F ,38,14,71,95136,4,2,3,0,0,0,0,0,0
1311,M,62,36,21,95616,3,0.3,3,0,0,0,0,0,0
1312,M,37,11,35,90044,2,0.8,3,125,0,0,0,0,0
1313,M,46,21,42,92691,1,2.4,1,0,0,0,0,1,1
1314,F,52,27,78,92008,4,3.6,3,141,0,0,0,1,0
1315,F,32,6,73,94305,4,2.2,2,0,0,0,0,0,0
1316,F ,49,25,53,95134,2,1,3,181,0,0,0,0,0
1317,M,28,3,51,94086,2,1.6,3,123,0,0,0,0,0
1318,M,55,30,40,95521,2,2.3,3,0,0,0,0,1,0
1319,M,52,26,178,94234,1,1,1,0,0,0,0,0,0
1320,F,32,6,35,94005,2,0.3,1,0,0,0,0,0,1
1321,F,31,7,192,90250,1,0,2,0,1,0,0,1,0
1322,F ,27,3,123,95138,1,5.4,1,0,0,0,0,0,0
1323,M,32,5,48,94022,2,1.67,2,0,0,1,1,1,1
1324,M,52,26,45,91604,3,0.6,2,0,0,0,0,0,0
1325,M,52,28,15,95064,1,0.2,1,0,0,0,0,1,0
1326,F,50,24,79,94304,1,0.3,1,120,0,0,0,1,0
1327,F,32,5,63,90024,4,2,2,0,0,1,0,1,0
1328,F ,61,35,30,94720,2,0.2,3,0,0,0,0,1,0
1329,M,60,36,145,95616,4,6.9,1,380,1,0,0,0,1
1330,M,28,4,32,90095,3,1,2,0,0,0,0,0,0
1331,M,34,9,64,92346,2,0.1,1,224,0,0,0,1,1
1332,F,31,7,84,92692,1,0.1,1,0,0,0,0,1,0
1333,F,31,5,21,94309,1,0.4,2,0,0,0,0,1,0
1334,F ,62,38,99,95014,4,1.7,2,0,0,0,0,1,0
1335,M,47,22,35,94304,2,1.3,1,0,0,0,0,1,0
1336,M,50,24,180,94539,1,1.7,1,0,0,0,0,1,1
1337,M,36,12,42,93555,1,1.33,1,0,0,0,0,1,0
1338,F,26,0,179,92028,4,2.1,2,0,1,0,0,0,0
1339,F,51,27,42,90245,4,0.1,3,0,0,0,0,0,0
1340,F ,52,25,180,94545,2,9,2,297,1,0,0,1,0
1341,M,35,11,82,94131,4,3.4,1,0,0,0,0,0,0
1342,M,42,16,55,91355,2,0.7,1,149,0,0,0,0,0
1343,M,36,12,79,90041,2,2.2,1,0,0,0,0,1,0
1344,F,41,17,48,92831,2,0.6,3,215,0,0,0,0,1
1345,F,49,25,93,93117,1,2.7,1,0,0,1,0,1,0
1346,F ,57,32,23,92126,2,0.2,3,0,0,0,0,0,0
1347,M,44,20,50,95670,3,2.33,1,200,0,0,0,0,0
1348,M,60,34,85,91367,2,2,1,0,0,0,0,1,0
1349,M,38,14,35,95051,1,1.5,2,97,0,0,0,1,0
1350,F,26,2,171,93943,3,6,2,0,1,0,0,1,0
1351,F,29,2,29,90266,4,1.5,2,0,0,0,0,0,1
1352,F ,59,35,84,94588,1,1.8,3,0,0,0,0,1,1
1353,M,51,27,20,90401,4,0.5,2,0,0,0,0,1,0
1354,M,50,25,14,94124,1,0.4,3,0,0,0,0,1,1
1355,M,35,10,179,91942,1,8.6,1,357,0,0,0,0,0
1356,F,61,37,48,91910,1,0.8,1,158,0,0,0,1,0
1357,F,42,16,74,90066,1,2.8,1,0,0,0,0,1,0
1358,F ,55,29,53,95134,1,1.4,1,0,0,0,0,0,0
1359,M,50,25,83,92007,1,2.8,2,0,0,0,0,1,1
1360,M,64,40,171,90034,2,2.1,1,433,0,0,0,0,0
1361,M,54,28,85,92028,4,4.9,1,0,0,0,0,1,0
1362,F,50,26,38,95039,4,0.9,2,0,0,0,0,1,0
1363,F,31,5,85,92130,3,1.6,1,157,0,0,0,1,1
1364,F ,32,8,79,92115,1,0.1,1,0,0,0,0,0,0
1365,M,44,19,69,92129,4,0.4,1,0,0,0,0,0,0
1366,M,60,35,43,94720,3,0.9,3,0,0,0,0,1,1
1367,M,60,34,33,91107,2,0.3,1,101,0,0,0,1,0
1368,F,62,38,42,95747,3,0.1,3,149,0,0,0,0,1
1369,F,46,21,40,94025,4,1.9,3,122,0,0,0,1,0
1370,F ,57,33,43,91902,1,1.8,3,0,0,0,0,0,0
1371,M,30,5,20,94545,4,0.5,3,117,0,0,0,0,0
1372,M,58,32,65,95621,3,2.5,1,222,0,0,0,1,0
1373,M,39,13,139,95616,3,3.4,1,483,1,0,0,1,0
1374,F,60,35,135,92612,3,0.3,3,0,1,0,0,1,0
1375,F,59,34,84,94043,3,1.6,3,0,0,0,0,1,0
1376,F ,50,26,179,92612,1,2.9,3,0,1,0,0,0,1
1377,M,63,39,45,92870,4,1.3,2,86,0,0,0,0,0
1378,M,27,3,109,93023,2,2.5,1,0,0,0,0,1,0
1379,M,54,29,34,93305,4,0.1,3,0,0,0,0,1,0
1380,F,62,37,162,95051,1,1.3,1,0,0,0,0,1,0
1381,F,60,34,105,92103,2,1.4,1,0,0,0,0,1,0
1382,F ,38,12,22,91380,3,0.2,2,0,0,0,0,1,0
1383,M,34,8,82,91775,2,1.8,1,178,0,0,0,1,1
1384,M,65,41,105,95616,4,1.7,2,230,0,1,0,1,0
1385,M,55,31,62,91711,1,1.8,3,0,0,0,0,1,0
1386,F,57,31,82,95032,2,2,1,83,0,0,0,0,1
1387,F,27,3,72,95616,4,0,1,0,0,0,0,1,0
1388,F ,35,10,38,95762,4,1.7,1,0,0,0,0,1,1
1389,M,52,28,25,90212,4,1,1,0,0,0,0,0,0
1390,M,45,15,20,94107,1,0.75,3,0,0,0,0,1,0
1391,M,29,3,80,94305,4,1.8,2,0,0,0,0,1,1
1392,F,44,18,84,91330,3,1.1,1,0,0,0,0,0,0
1393,F,47,23,33,90095,1,1,1,0,0,0,0,1,1
1394,F ,62,37,55,95039,3,0.9,3,0,0,0,0,1,0
1395,M,52,27,33,90095,2,0.7,2,0,0,0,0,0,1
1396,M,47,23,190,92831,4,0.3,3,305,1,0,0,0,0
1397,M,42,18,43,91107,1,0.3,3,158,0,0,0,0,0
1398,F,65,41,45,95521,3,0.1,3,0,0,0,0,1,0
1399,F,42,18,141,93407,1,3.5,1,0,0,0,0,0,0
1400,F ,40,16,69,92009,4,2.4,1,0,0,0,0,1,0
1401,M,32,8,78,90401,4,0.1,2,0,0,0,0,1,0
1402,M,40,15,84,94521,1,3.7,3,0,0,0,0,1,0
1403,M,55,29,172,95064,1,5.2,2,0,1,0,0,0,0
1404,F,32,6,51,93109,4,0.2,1,154,0,1,0,0,1
1405,F,58,28,75,92121,1,1.4,3,0,0,0,0,1,0
1406,F ,46,22,183,91605,1,3.1,2,0,1,0,1,1,1
1407,M,53,23,20,92123,4,0.4,3,0,0,0,0,1,1
1408,M,63,39,101,94306,2,3.9,3,294,1,0,0,1,0
1409,M,40,14,129,90089,1,5.9,3,0,1,0,0,1,0
1410,F,41,17,63,90745,2,3.2,1,0,0,0,0,0,0
1411,F,60,35,44,92126,4,2.1,1,0,0,0,0,0,0
1412,F ,65,39,184,91302,1,5.4,3,176,1,0,1,1,1
1413,M,59,33,100,95064,2,2,1,127,0,0,0,0,0
1414,M,48,24,12,90058,3,0.4,1,0,0,0,0,0,0
1415,M,59,33,68,94105,2,2.3,3,128,0,1,0,1,0
1416,F,33,8,48,94019,1,1,1,212,0,0,0,1,0
1417,F,40,15,82,93101,2,0.4,1,0,0,0,0,0,0
1418,F ,42,18,52,94061,2,2.5,1,0,0,0,0,0,0
1419,M,65,41,154,92008,2,4.6,2,0,1,1,1,1,1
1420,M,30,4,39,91105,1,1.5,1,0,0,0,0,0,1
1421,M,30,4,40,91605,1,0.3,1,0,0,0,1,1,1
1422,F,42,17,54,94720,4,1.9,3,164,0,0,0,0,0
1423,F,32,8,32,94143,2,1,2,103,0,0,1,1,1
1424,F ,55,30,64,90250,2,2.3,3,0,0,0,0,0,0
1425,M,29,3,92,94539,2,1.3,1,287,0,0,0,1,0
1426,M,64,38,40,91330,1,2.5,3,94,0,0,0,1,1
1427,M,37,11,60,96651,3,0.5,3,0,0,0,0,1,0
1428,F,31,5,85,95828,2,1.3,1,119,0,0,0,1,1
1429,F,25,-1,21,94583,4,0.4,1,90,0,0,0,1,0
1430,F ,31,5,35,95064,1,0.6,3,171,0,0,0,0,0
1431,M,32,7,52,92660,2,0.1,1,0,0,0,0,1,0
1432,M,58,34,128,90058,1,7.4,1,0,0,0,0,0,0
1433,M,26,2,195,90245,1,6.33,1,0,0,0,0,0,0
1434,F,51,25,68,92647,2,1.5,2,117,0,0,0,0,1
1435,F,65,41,55,93106,2,1.1,1,0,0,0,0,0,0
1436,F ,43,17,55,90266,1,0.2,1,0,0,0,0,1,0
1437,M,46,21,80,95054,4,0.4,1,0,0,0,0,1,1
1438,M,28,3,123,92007,1,0.8,1,146,0,0,0,0,0
1439,M,63,37,90,94105,4,1.9,2,106,0,1,0,1,0
1440,F,59,29,61,94025,1,1.4,3,0,0,0,0,0,0
1441,F,42,15,41,94610,3,2.5,2,0,0,0,0,1,0
1442,F ,58,33,43,94720,2,1.6,3,0,0,0,0,1,0
1443,M,39,13,71,95822,3,0.1,1,162,0,1,0,1,0
1444,M,36,12,25,95051,4,1,1,0,0,0,0,1,0
1445,M,60,33,154,90740,1,3,2,0,1,1,1,1,0
1446,F,47,21,141,90095,1,2.4,1,0,0,0,0,0,0
1447,F,29,4,22,92661,2,0.9,3,110,0,0,0,0,0
1448,F ,52,28,145,94131,2,6.8,1,0,0,0,0,1,0
1449,M,41,16,49,92122,3,0.5,3,0,0,0,0,1,0
1450,M,63,37,109,90740,1,2,1,0,0,0,0,1,0
1451,M,59,34,80,90086,3,0.5,1,0,0,0,0,1,1
1452,F,44,20,82,94555,4,1.4,2,201,0,0,0,1,1
1453,F,54,28,52,94102,4,2.5,1,0,0,0,0,1,0
1454,F ,29,5,85,90232,3,2.5,1,0,0,0,0,1,1
1455,M,51,25,148,90024,1,1,1,0,0,0,0,0,0
1456,M,63,39,160,91330,2,2.1,1,0,0,0,0,0,1
1457,M,36,11,39,90095,4,1.7,1,0,0,0,0,1,0
1458,F,42,16,25,94304,2,0.8,3,0,0,0,0,0,1
1459,F,51,25,33,93033,1,1.4,3,0,0,0,0,1,1
1460,F ,47,20,38,92115,3,2.5,2,0,0,0,0,0,0
1461,M,40,16,85,92677,4,0.2,3,0,0,0,0,1,1
1462,M,54,28,48,93022,1,0.2,1,0,0,0,0,1,0
1463,M,47,21,15,95207,4,0.6,3,77,0,0,0,1,0
1464,F,35,10,94,91343,1,0,1,174,0,0,0,1,0
1465,F,28,4,120,92333,2,0.6,1,0,0,0,0,1,0
1466,F ,45,19,60,91911,1,0.7,3,159,0,0,0,1,0
1467,M,33,9,145,94303,2,4.33,1,277,0,0,0,0,1
1468,M,62,36,29,91107,2,0.7,3,0,0,0,0,0,0
1469,M,45,18,78,92129,3,2.67,2,0,0,0,0,1,0
1470,F,59,35,59,90005,4,1.2,2,0,0,0,0,1,0
1471,F,58,28,80,91116,2,4.5,3,0,0,0,0,0,1
1472,F ,52,26,180,94305,1,1,1,0,0,0,0,1,1
1473,M,34,8,8,94710,3,0.1,2,83,0,0,0,1,0
1474,M,65,35,23,91711,1,1.5,3,0,0,0,0,1,0
1475,M,48,23,79,92124,2,3.8,3,0,0,0,0,1,0
1476,F,44,19,78,92064,2,3.8,3,268,0,0,0,0,0
1477,F,61,37,64,92028,1,0,2,0,0,0,0,0,1
1478,F ,40,14,64,91320,4,0.2,3,0,0,0,0,1,1
1479,M,65,39,160,94803,4,3.8,1,237,1,0,0,1,0
1480,M,28,4,43,91304,1,1,3,102,0,0,0,0,0
1481,M,67,42,32,93943,1,1.1,3,0,0,0,0,0,1
1482,F,35,9,179,91125,2,0,1,76,0,1,0,1,0
1483,F,60,35,8,94143,1,0.1,1,0,0,0,0,1,0
1484,F ,58,32,63,92717,1,1.6,1,0,0,1,0,1,0
1485,M,55,30,40,94126,2,2.3,3,0,0,1,0,1,0
1486,M,34,9,99,90245,4,2.2,2,155,0,0,0,1,0
1487,M,35,9,141,93022,2,4.5,2,0,1,0,0,0,0
1488,F,28,4,159,93907,1,1.5,1,0,0,0,0,1,1
1489,F,38,12,39,95825,2,0.3,1,174,0,0,0,1,0
1490,F ,62,38,99,91604,4,1.7,2,0,0,0,0,0,0
1491,M,30,4,18,95020,4,0.3,2,0,0,0,0,1,1
1492,M,38,12,38,94553,2,0.3,1,0,0,0,0,1,1
1493,M,33,8,133,90024,1,0,1,0,0,0,0,1,0
1494,F,58,34,84,91380,2,2.8,1,0,0,0,0,1,1
1495,F,59,35,60,90089,1,0,2,0,0,0,0,1,1
1496,F ,52,28,178,92647,3,5.4,3,147,1,0,0,1,0
1497,M,36,12,18,91330,1,0.5,3,0,0,0,0,0,1
1498,M,45,21,73,95020,1,0.8,3,0,0,0,0,1,0
1499,M,49,23,125,94022,1,7.3,1,0,0,0,0,0,0
1500,F,52,26,91,92173,1,4.3,2,0,1,0,1,1,1
1501,F,54,28,74,95014,2,1.1,1,0,0,0,0,1,0
1502,F ,30,4,35,92130,2,0.3,2,0,0,1,0,0,1
1503,M,65,39,113,90036,1,2,1,0,0,0,0,1,1
1504,M,34,8,52,94720,4,2.2,2,0,0,0,0,0,0
1505,M,30,6,191,92028,2,4.4,2,0,1,0,0,1,0
1506,F,51,25,18,92109,1,0.3,3,93,0,0,0,0,1
1507,F,52,27,25,95138,2,0,1,0,0,0,0,1,1
1508,F ,43,18,50,91006,4,1.9,3,0,0,0,0,0,0
1509,M,35,10,75,93940,4,0.7,3,0,0,0,0,1,1
1510,M,56,26,92,92647,2,4.5,3,0,0,1,0,0,1
1511,M,57,32,33,95747,2,2,2,0,0,0,0,1,0
1512,F,58,32,65,90266,3,2.2,3,0,0,0,0,0,0
1513,F,53,28,44,91604,3,1.7,1,0,0,0,0,0,0
1514,F ,45,21,183,95211,2,1.4,1,354,0,0,0,0,0
1515,M,44,20,175,96150,2,1.4,1,0,0,0,0,1,1
1516,M,54,28,28,94305,4,1.5,3,0,0,0,0,1,1
1517,M,41,17,49,92130,4,2.2,2,0,0,0,0,0,0
1518,F,52,26,45,92697,4,1.8,1,0,0,0,0,1,0
1519,F,43,17,64,95053,4,3,3,221,1,0,0,1,0
1520,F ,63,38,22,92115,3,0.1,3,90,0,0,0,1,0
1521,M,54,30,120,95039,1,7.4,1,119,0,0,0,1,1
1522,M,33,8,175,92354,2,6.7,1,102,0,0,0,1,0
1523,M,25,-1,101,94720,4,2.3,3,256,0,0,0,0,1
1524,F,41,16,104,92037,1,1,3,0,0,0,0,1,0
1525,F,40,16,155,94002,4,0.1,3,0,1,0,1,1,1
1526,F ,43,18,58,95747,1,2.4,1,0,0,0,0,0,0
1527,M,36,10,80,94608,4,2.2,2,0,0,0,0,1,0
1528,M,57,33,45,94117,1,1.8,3,195,0,0,0,0,0
1529,M,34,9,134,94550,1,4.6,1,164,0,1,0,1,0
1530,F,38,14,58,91709,4,2,3,153,0,1,0,0,0
1531,F,47,21,20,94066,1,0.2,1,0,0,0,0,1,1
1532,F ,39,13,25,90304,4,1.5,3,0,0,0,0,1,0
1533,M,45,20,55,94588,1,0.3,1,0,0,0,0,1,1
1534,M,62,37,155,93943,1,1.3,1,0,0,0,0,0,0
1535,M,59,34,30,92084,1,1.3,1,0,0,0,0,1,1
1536,F,61,37,39,92096,4,0.4,1,0,0,0,0,1,1
1537,F,36,12,73,95617,4,2,3,188,0,0,0,1,0
1538,F ,58,34,41,94608,4,1.3,1,0,0,0,0,1,0
1539,M,55,30,34,95820,4,0.1,3,157,0,0,0,1,0
1540,M,29,5,21,90601,3,0.9,3,119,0,0,0,0,0
1541,M,34,8,11,91320,4,0.3,1,0,0,1,1,1,1
1542,F,61,35,154,92704,2,6.9,1,0,0,0,0,0,0
1543,F,50,20,19,92612,4,0.4,3,0,0,0,0,0,0
1544,F ,52,26,101,93407,2,2.4,2,0,0,0,0,1,0
1545,M,39,15,24,92123,1,1,1,116,0,0,0,1,1
1546,M,55,29,131,92675,2,2.7,1,0,0,1,0,0,0
1547,M,33,9,105,95136,1,4,1,0,0,0,0,1,0
1548,F,47,21,52,94720,1,1.2,2,194,0,0,0,0,0
1549,F,57,32,21,92037,4,0.9,2,113,0,1,0,0,0
1550,F ,57,31,45,94305,3,1.4,1,198,0,0,0,1,0
1551,M,40,14,39,93117,1,2,1,0,0,0,0,1,0
1552,M,50,25,192,94115,2,2.8,1,238,0,0,0,0,1
1553,M,29,5,195,94301,1,4.3,1,0,0,0,0,0,0
1554,F,46,22,83,95616,3,0.7,1,0,0,0,0,0,0
1555,F,42,15,34,91302,3,1,2,0,0,1,0,1,0
1556,F ,59,33,49,93009,4,1.7,2,104,0,0,0,1,0
1557,M,31,1,60,94143,4,4,3,244,0,0,0,0,0
1558,M,51,25,41,94939,4,1.8,1,0,0,0,0,0,0
1559,M,35,10,72,91320,3,2.3,1,285,0,0,0,0,0
1560,F,59,35,102,92677,4,3,2,115,1,0,0,1,0
1561,F,35,10,31,95605,3,1.3,1,0,0,0,0,0,0
1562,F ,46,20,73,93106,1,1.5,2,128,0,0,0,1,0
1563,M,34,9,89,91763,1,0,1,0,0,0,0,1,0
1564,M,55,29,19,92109,4,0.7,3,121,0,1,0,0,1
1565,M,64,40,63,94706,4,1.2,2,0,0,0,0,1,0
1566,F,34,9,104,95758,3,1.2,3,0,0,0,0,1,0
1567,F,61,35,40,95064,1,0.8,2,128,0,0,0,1,0
1568,F ,63,39,92,94710,2,0,3,0,0,0,0,1,0
1569,M,59,33,72,92350,2,0.7,2,226,0,0,0,0,0
1570,M,51,27,44,94305,3,1.9,2,141,0,0,0,0,0
1571,M,41,16,114,94705,4,3.5,1,0,1,0,0,0,1
1572,F,37,13,73,95758,4,2.4,1,0,0,0,0,0,0
1573,F,64,40,63,91711,4,1.2,2,0,0,1,0,0,1
1574,F ,44,20,69,92028,1,0.8,3,184,0,0,1,1,1
1575,M,62,37,42,92106,3,1.5,1,0,0,0,0,1,0
1576,M,50,26,88,90037,1,2.7,1,0,0,0,0,1,0
1577,M,43,18,98,92131,2,0.4,1,0,0,0,0,1,0
1578,F,34,8,65,92093,1,3,1,227,1,0,0,1,0
1579,F,38,13,12,94143,2,0.3,2,104,0,1,0,1,0
1580,F ,29,5,122,94305,4,3,1,0,1,0,0,0,1
1581,M,39,14,12,92093,2,0,3,0,0,0,0,0,0
1582,M,53,29,24,94105,2,0.2,1,0,0,0,0,0,1
1583,M,43,19,170,92037,4,4.25,1,318,1,0,1,1,1
1584,F,61,36,184,92028,4,2.3,2,342,1,0,1,1,1
1585,F,46,20,25,93401,4,0.6,3,125,0,0,0,0,0
1586,F ,57,31,131,90502,2,2.7,1,0,0,0,0,0,0
1587,M,59,33,50,94122,2,2.3,3,0,0,0,0,0,1
1588,M,52,28,21,94035,2,0.4,1,0,0,1,0,1,0
1589,M,29,3,55,95616,3,1.1,2,0,0,0,0,1,0
1590,F,57,32,124,90049,1,0.2,2,0,1,0,0,1,0
1591,F,49,23,58,95819,4,2.6,1,188,0,0,0,0,0
1592,F ,39,13,72,95817,2,2.8,1,0,0,0,0,1,0
1593,M,56,31,192,90089,1,7,3,0,1,0,1,1,0
1594,M,63,38,83,91320,3,1.8,2,0,0,0,0,1,0
1595,M,37,12,93,90025,1,2.8,1,0,0,1,0,1,0
1596,F,56,26,38,94305,3,1,3,110,0,1,0,1,0
1597,F,45,20,55,92606,4,1.9,3,164,0,1,0,0,0
1598,F ,66,41,11,92325,3,0.1,3,0,0,1,0,0,1
1599,M,40,15,85,94550,2,0.4,1,0,0,1,0,0,0
1600,M,50,24,124,93305,1,4.9,1,266,0,0,0,1,0
1601,M,60,36,129,92028,2,6,1,0,0,0,0,1,0
1602,F,31,7,180,93407,1,4.3,1,0,0,0,0,0,0
1603,F,40,14,74,90245,4,1.4,2,0,0,0,0,1,0
1604,F ,36,6,138,92152,1,7,3,86,1,0,0,1,0
1605,M,55,29,111,90502,2,3.6,3,0,1,0,0,0,1
1606,M,54,28,83,93555,3,0.8,1,0,0,0,0,1,0
1607,M,35,10,33,90266,4,1.7,1,87,0,0,0,1,0
1608,F,55,29,21,92028,4,0.7,3,0,0,0,0,0,0
1609,F,36,10,35,94608,2,0.3,1,98,0,0,0,1,0
1610,F ,66,41,105,93023,1,0.8,3,0,0,1,1,1,1
1611,M,38,14,103,94305,1,0.8,2,0,0,0,0,0,1
1612,M,58,32,75,92096,2,2.3,3,0,0,0,0,0,0
1613,M,41,17,33,94550,1,0.7,1,104,0,0,0,0,0
1614,F,60,34,52,94305,4,1.7,2,0,0,1,0,1,0
1615,F,47,23,89,94920,1,2.6,2,0,0,1,1,1,1
1616,F ,62,36,63,93109,1,2.5,3,0,0,0,0,0,0
1617,M,48,23,84,94402,4,3.1,2,0,1,1,1,1,0
1618,M,61,36,44,91302,4,2.1,1,0,0,0,0,0,0
1619,M,29,3,29,94720,3,1,1,0,0,0,0,1,1
1620,F,45,21,29,90005,1,0.3,3,0,0,0,0,1,0
1621,F,39,14,22,94035,2,0.3,2,0,0,0,0,1,0
1622,F ,31,6,53,92093,4,2.2,1,114,0,0,0,1,0
1623,M,39,14,24,94611,2,0.3,2,0,0,0,0,1,0
1624,M,63,38,153,90045,1,1.3,1,455,0,0,0,0,0
1625,M,28,2,31,90024,2,0.3,2,0,0,1,0,1,0
1626,F,56,30,21,94542,2,0.7,2,0,0,0,0,1,0
1627,F,31,6,180,93108,2,6.7,1,0,0,0,0,0,0
1628,F ,46,20,82,91016,3,0.7,2,0,0,0,0,1,1
1629,M,42,18,90,95064,4,0.8,1,245,0,1,0,0,0
1630,M,53,29,154,93407,4,7.4,3,0,1,0,0,0,0
1631,M,41,17,99,92096,2,1.8,2,0,0,0,0,1,1
1632,F,61,36,153,91105,1,2.6,2,0,1,1,1,0,1
1633,F,31,5,93,95032,2,3.1,2,0,1,0,0,1,0
1634,F ,62,38,53,92121,1,0,2,0,0,0,0,0,0
1635,M,59,34,18,95814,3,1.3,2,104,0,0,1,1,1
1636,M,49,24,70,91330,1,2.9,1,0,0,0,0,0,0
1637,M,65,39,100,92122,4,1.7,3,0,0,0,0,0,1
1638,F,30,6,193,94022,3,6.3,3,0,1,0,0,1,0
1639,F,32,7,125,95133,1,0,1,0,0,0,0,1,1
1640,F ,56,31,68,94571,2,0,3,0,0,1,0,1,0
1641,M,36,10,55,90009,1,2,1,95,0,0,0,1,0
1642,M,58,34,152,92182,4,3.6,3,0,1,0,0,0,0
1643,M,27,3,84,95814,3,1.5,1,0,0,0,0,1,1
1644,F,41,16,13,91125,2,0,3,0,0,0,0,1,0
1645,F,59,35,33,91355,4,0.4,1,131,0,0,0,0,1
1646,F ,56,32,89,92096,4,1,2,90,0,1,0,1,0
1647,M,52,26,93,91745,1,2.4,1,0,0,0,0,1,0
1648,M,35,5,68,90509,4,1.8,3,0,0,0,0,0,0
1649,M,47,21,85,93106,2,1.7,2,0,0,0,0,0,1
1650,F,29,4,73,95039,1,0.8,2,0,0,0,0,1,0
1651,F,31,6,83,92131,4,2.2,2,106,0,0,0,1,0
1652,F ,62,36,158,94301,2,6.3,3,0,1,0,0,1,0
1653,M,48,18,182,92626,4,6,3,0,1,0,0,1,0
1654,M,26,1,24,96651,2,0.9,3,123,0,0,0,0,1
1655,M,60,34,102,94305,2,2,1,0,0,0,0,1,1
1656,F,35,11,53,91355,3,2.8,1,0,0,0,0,0,0
